@relation cities_greece-weka.filters.unsupervised.attribute.Remove-R1

@attribute Latitude numeric
@attribute Longitude numeric

@data
34816.6667,24100
34833.3333,24083.3333
34850,24050
34850,24083.3333
34850,24116.6667
34866.6667,24083.3333
34933.3333,24800
34933.3333,24916.6667
34966.6667,24883.3333
34966.6667,24933.3333
34966.6667,24950
34966.6667,25033.3333
34966.6667,25133.3333
34966.6667,25250
34983.3333,24750
34983.3333,24850
34983.3333,24916.6667
34983.3333,24983.3333
34983.3333,25000
34983.3333,25016.6667
34983.3333,25150
34983.3333,25166.6667
34983.3333,25200
34983.3333,25216.6667
34983.3333,25266.6667
34983.3333,25283.3333
34983.3333,25316.6667
34983.3333,25333.3333
35000,24816.6667
35000,24900
35000,24933.3333
35000,25033.3333
35000,25066.6667
35000,25133.3333
35000,25150
35000,25366.6667
35000,25383.3333
35000,25483.3333
35000,25516.6667
35000,25533.3333
35000,25583.3333
35000,25633.3333
35016.6667,24783.3333
35016.6667,24800
35016.6667,24833.3333
35016.6667,24866.6667
35016.6667,24883.3333
35016.6667,24900
35016.6667,24916.6667
35016.6667,24950
35016.6667,24966.6667
35016.6667,25000
35016.6667,25066.6667
35016.6667,25083.3333
35016.6667,25116.6667
35016.6667,25166.6667
35016.6667,25200
35016.6667,25416.6667
35016.6667,25516.6667
35016.6667,25533.3333
35016.6667,25550
35016.6667,25583.3333
35016.6667,25683.3333
35016.6667,25750
35016.6667,25833.3333
35016.6667,26100
35016.6667,26116.6667
35033.3333,24783.3333
35033.3333,24833.3333
35033.3333,24933.3333
35033.3333,25150
35033.3333,25233.3333
35033.3333,25250
35033.3333,25266.6667
35033.3333,25283.3333
35033.3333,25383.3333
35033.3333,25433.3333
35033.3333,25450
35033.3333,25483.3333
35033.3333,25500
35033.3333,25550
35033.3333,25566.6667
35033.3333,25600
35033.3333,25666.6667
35033.3333,25750
35033.3333,25766.6667
35033.3333,25900
35033.3333,25950
35033.3333,25966.6667
35033.3333,25983.3333
35033.3333,26150
35050,24816.6667
35050,24833.3333
35050,24866.6667
35050,24900
35050,24950
35050,25050
35050,25066.6667
35050,25100
35050,25116.6667
35050,25183.3333
35050,25300
35050,25333.3333
35050,25383.3333
35050,25416.6667
35050,25450
35050,25500
35050,25550
35050,25633.3333
35050,25666.6667
35050,25783.3333
35050,25800
35050,25833.3333
35050,25883.3333
35050,25950
35050,26050
35050,26066.6667
35050,26100
35050,26116.6667
35050,26150
35050,26183.3333
35066.6667,24766.6667
35066.6667,24816.6667
35066.6667,24866.6667
35066.6667,24883.3333
35066.6667,24916.6667
35066.6667,24933.3333
35066.6667,24966.6667
35066.6667,25016.6667
35066.6667,25033.3333
35066.6667,25083.3333
35066.6667,25100
35066.6667,25116.6667
35066.6667,25133.3333
35066.6667,25200
35066.6667,25216.6667
35066.6667,25233.3333
35066.6667,25300
35066.6667,25566.6667
35066.6667,25716.6667
35066.6667,25750
35066.6667,25816.6667
35066.6667,25866.6667
35066.6667,25966.6667
35066.6667,26016.6667
35066.6667,26083.3333
35066.6667,26116.6667
35083.3333,24733.3333
35083.3333,24833.3333
35083.3333,24866.6667
35083.3333,24883.3333
35083.3333,24916.6667
35083.3333,24933.3333
35083.3333,24950
35083.3333,24966.6667
35083.3333,25033.3333
35083.3333,25050
35083.3333,25083.3333
35083.3333,25100
35083.3333,25183.3333
35083.3333,25216.6667
35083.3333,25233.3333
35083.3333,25250
35083.3333,25266.6667
35083.3333,25283.3333
35083.3333,25333.3333
35083.3333,25366.6667
35083.3333,25400
35083.3333,25566.6667
35083.3333,25583.3333
35083.3333,25650
35083.3333,25716.6667
35083.3333,25766.6667
35083.3333,25816.6667
35083.3333,25833.3333
35083.3333,25916.6667
35083.3333,25933.3333
35083.3333,25950
35083.3333,25966.6667
35083.3333,25983.3333
35083.3333,26033.3333
35083.3333,26050
35083.3333,26066.6667
35083.3333,26083.3333
35083.3333,26100
35083.3333,26133.3333
35083.3333,26166.6667
35100,24683.3333
35100,24783.3333
35100,24833.3333
35100,24850
35100,24916.6667
35100,24966.6667
35100,25000
35100,25066.6667
35100,25083.3333
35100,25166.6667
35100,25183.3333
35100,25216.6667
35100,25250
35100,25283.3333
35100,25300
35100,25350
35100,25366.6667
35100,25383.3333
35100,25400
35100,25416.6667
35100,25683.3333
35100,25800
35100,25866.6667
35100,25950
35100,26066.6667
35100,26083.3333
35100,26133.3333
35100,26266.6667
35116.6667,24616.6667
35116.6667,24750
35116.6667,24766.6667
35116.6667,24816.6667
35116.6667,24866.6667
35116.6667,24900
35116.6667,24916.6667
35116.6667,24933.3333
35116.6667,24950
35116.6667,25000
35116.6667,25116.6667
35116.6667,25133.3333
35116.6667,25216.6667
35116.6667,25233.3333
35116.6667,25250
35116.6667,25266.6667
35116.6667,25283.3333
35116.6667,25300
35116.6667,25333.3333
35116.6667,25716.6667
35116.6667,25733.3333
35116.6667,25800
35116.6667,25850
35116.6667,25883.3333
35116.6667,25983.3333
35116.6667,26016.6667
35116.6667,26066.6667
35116.6667,26083.3333
35116.6667,26100
35116.6667,26150
35116.6667,26216.6667
35116.6667,26233.3333
35133.3333,24600
35133.3333,24650
35133.3333,24733.3333
35133.3333,24816.6667
35133.3333,24900
35133.3333,24916.6667
35133.3333,24950
35133.3333,24983.3333
35133.3333,25000
35133.3333,25016.6667
35133.3333,25033.3333
35133.3333,25066.6667
35133.3333,25083.3333
35133.3333,25116.6667
